"model","S","N","lambda","alpha","iter","N_mean","N_sd","N_2.5","N_50","N_97.5","N_Rhat","N_n.eff","a_mean","a_sd","a_2.5","a_50","a_97.5","a_Rhat","a_n.eff","nbErrTot_mean","nbErrTot_sd","nbErrTot_2.5","nbErrTot_50","nbErrTot_97.5","nbErrTot_Rhat","nbErrTot_n.eff"
"LMM2",5,500,0.36,0.95,4,498.9504,35.0479822228455,434,498,569,1,1015,0.946253233285557,0.0236933871326827,0.899263179309147,0.946555951963235,0.990837337858357,1,960,48.19345,20.590384292037,8,49,88,1,893
"LMM2",5,500,0.36,0.95,5,430.3628,29.1426447126379,379,429,494,1,1070,0.90984368111096,0.0220531591333518,0.867640118960347,0.909573957571177,0.954699127503879,1,1217,82.11575,18.446727786407,43,83,116,1,1005
"LMM2",5,500,0.36,0.95,6,449.0383,32.9082874194183,390,447,520,1,1025,0.91848003376557,0.0242760738068545,0.872170168683411,0.917894945236829,0.967639693777708,1,1065,71.27485,19.9565658544634,29,72,108,1,949
"LMM2",5,500,0.36,0.95,7,521.9332,35.1122881823311,456,521,591,1.01,1028,0.952235699516044,0.0225333868634319,0.908000809591466,0.95251490991125,0.993832994655088,1.01,953,44.62235,20.5356717973459,6,45,84,1.01,887
"LMM2",5,500,0.36,0.95,8,493.5061,35.8928833857617,429,491,570,1,937,0.935683063693417,0.0243419584269567,0.888436942694822,0.935131708663138,0.98420526651624,1,943,58.40935,21.2472881785005,15,59,97,1,835
"LMM2",5,500,0.36,0.95,9,470.06445,36.2260777980881,406,468,548,1,814,0.916789031614916,0.0257814652576646,0.867498300090496,0.916254632388458,0.969656272957326,1,868,72.72485,21.2416572535583,28,74,112,1,798
"LMM2",5,500,0.36,0.95,10,523.23915,37.5356537646899,452,523,594,1,995,0.953851731077133,0.0247252738507924,0.903198167126724,0.954701526011556,0.995873508973173,1.01,975,38.89735,20.4852726439573,3,39,79,1.01,865
"LMM2",5,500,0.51,0.8,1,489.8102,28.1075501899202,439,488,549,1.01,506,0.792608675584351,0.0183082786708264,0.756685983499064,0.792649996215299,0.828436164038926,1.01,926,264.33855,18.3070175408793,227,265,298,1.01,530
"LMM2",5,500,0.51,0.8,2,519.3454,30.0890705480964,466,518,584,1,618,0.81302847863539,0.018640025536657,0.777413910813502,0.812839605595226,0.850150002785747,1,896,240.08085,19.4455964125169,200,241,276,1,614
"LMM2",5,500,0.51,0.8,3,539.84065,36.615705552019,476,537,620,1.01,536,0.802355084856188,0.0213121895806868,0.762128950795352,0.801748632272108,0.84595529856876,1.01,785,242.11885,22.0624264805712,195,243,281,1.01,535
"LMM2",5,500,0.51,0.8,4,519.66395,31.5924805078476,463,517,588,1,559,0.80196769245375,0.0193293626645185,0.764620192044775,0.801765394642866,0.840740078693405,1,860,249.96625,19.9371709496802,208,251,286,1,547
"LMM2",5,500,0.51,0.8,5,485.49965,26.5234646037472,438,484,541,1,597,0.790531084581362,0.0177312082962287,0.755924031055954,0.790457629821093,0.825894955201399,1,1078,269.1626,17.557900649957,233,270,302,1,620
"LMM2",5,500,0.51,0.8,6,505.17715,30.3061477427774,451,503,570,1,527,0.78781818525964,0.0191020073341693,0.750771755045918,0.78751406681587,0.825491153749659,1,1004,268.55535,19.2679863800673,229,269,304,1,602
"LMM2",5,500,0.51,0.8,7,512.5518,27.8853312037856,462,511,572,1,648,0.819614054329881,0.0175662745109189,0.785609082459013,0.819402440213016,0.855029386517861,1,1046,235.6618,18.4269069109527,197,236,270,1,668
"LMM2",5,500,0.51,0.8,8,468.66085,24.0540008527761,425,467,520,1,680,0.802266991828949,0.0167978833008542,0.769306812789564,0.802281972988866,0.835285043842728,1,1296,255.47655,16.3667481076627,222,256,285.024999999998,1,721
